p_i,p_m,diff_p^(n-2),dp^(n-1),diff_p^(n-1),dp^(n),diff_p^(n),target
1.0,464802.351896733,545228.324691796,0.9557261011022395,541787.710727828,0.9280061548833328,538446.8885702479,0.9025667963836006
1.0,467967.15318756603,541787.710727828,0.9280061548833328,538446.8885702479,0.9025667963836006,535197.648103267,0.879111469675845
1.0,471053.775017916,538446.8885702479,0.9025667963836006,535197.648103267,0.879111469675845,532032.846812434,0.8573949528749897
1.0,474067.739905362,535197.648103267,0.879111469675845,532032.846812434,0.8573949528749897,528946.224982084,0.8372124687350071
1.0,477013.94927689794,532032.846812434,0.8573949528749897,528946.224982084,0.8372124687350071,525932.260094638,0.8183914920933117
1.0,479896.777072167,528946.224982084,0.8372124687350071,525932.260094638,0.8183914920933117,522986.05072310206,0.8007854986858567
1.0,482720.14595448604,525932.260094638,0.8183914920933117,522986.05072310206,0.8007854986858567,520103.222927833,0.7842691339775046
1.0,485487.58992353705,522986.05072310206,0.8007854986858567,520103.222927833,0.7842691339775046,517279.85404551396,0.7687344358475012
1.0,488202.30618267704,520103.222927833,0.7842691339775046,517279.85404551396,0.7687344358475012,514512.41007646295,0.7540878497611104
1.0,490867.198432313,517279.85404551396,0.7687344358475012,514512.41007646295,0.7540878497611104,511797.69381732296,0.7402478471210957
1.0,493484.91326049995,514512.41007646295,0.7540878497611104,511797.69381732296,0.7402478471210957,509132.801567687,0.727143007829711
1.0,496057.870930076,511797.69381732296,0.7402478471210957,509132.801567687,0.727143007829711,506515.08673950005,0.7147104637711245
1.0,498588.29158215603,509132.801567687,0.727143007829711,506515.08673950005,0.7147104637711245,503942.129069924,0.7028946255777878
1.0,501078.217663411,506515.08673950005,0.7147104637711245,503942.129069924,0.7028946255777878,501411.70841784397,0.6916461336819338
1.0,503529.53322170296,503942.129069924,0.7028946255777878,501411.70841784397,0.6916461336819338,498921.782336589,0.6809209884144366
1.0,505943.980588476,501411.70841784397,0.6916461336819338,498921.782336589,0.6809209884144366,496470.46677829704,0.6706798241036207
1.0,508323.174867846,498921.782336589,0.6809209884144366,496470.46677829704,0.6706798241036207,494056.019411524,0.660887299825004
1.0,510668.616574825,496470.46677829704,0.6706798241036207,494056.019411524,0.660887299825004,491676.825132154,0.6515115852719464
1.0,512981.702703655,494056.019411524,0.660887299825004,491676.825132154,0.6515115852719464,489331.383425175,0.642523924674994
1.0,515263.736458154,491676.825132154,0.6515115852719464,489331.383425175,0.642523924674994,487018.297296345,0.633898265138608
1.0,517515.935836535,489331.383425175,0.642523924674994,487018.297296345,0.633898265138608,484736.263541846,0.6256109384391716
1.0,519739.441231263,487018.297296345,0.633898265138608,484736.263541846,0.6256109384391716,482484.064163465,0.6176403874244392
1.0,521935.32217855,484736.263541846,0.6256109384391716,482484.064163465,0.6176403874244392,480260.558768737,0.60996692980195
1.0,524104.58337088296,482484.064163465,0.6176403874244392,480260.558768737,0.60996692980195,478064.67782145,0.6025725534258204
1.0,526248.1700285011,480260.558768737,0.60996692980195,478064.67782145,0.6025725534258204,475895.41662911704,0.595440738227254
1.0,528366.972711314,478064.67782145,0.6025725534258204,475895.41662911704,0.595440738227254,473751.8299714989,0.5885563007813632
