p_i,time,p_m
1.25892541179417,226800,564811.764936137
1.25892541179417,230400,566565.367020036
1.25892541179417,234000,568305.311721015
1.25892541179417,237600,570031.911471583
1.25892541179417,241200,571745.466734961
1.25892541179417,244800,573446.266615517
1.25892541179417,248400,575134.589428796
1.25892541179417,252000,576810.703234403
1.25892541179417,255600,578474.866334688
1.25892541179417,259200,580127.327741936
1.25892541179417,262800,581768.327616486
1.25892541179417,266400,583398.097678014
1.25892541179417,270000,585016.861592018
1.25892541179417,273600,586624.835333334
1.25892541179417,277200,588222.227528403
1.25892541179417,280800,589809.239777818
1.25892541179417,284400,591386.066960575
1.25892541179417,288000,592952.897521329
1.25892541179417,291600,594509.913741847
1.25892541179417,295200,596057.291997746
1.25892541179417,298800,597595.203001532
1.25892541179417,302400,599123.812032857
1.25892541179417,306000,600643.279156844
1.25892541179417,309600,602153.759431279
1.25892541179417,313200,603655.40310337
1.25892541179417,316800,605148.355796768
1.25892541179417,320400,606632.758689435
1.25892541179417,324000,608108.748682964
1.25892541179417,327600,609576.458563846
1.25892541179417,331200,611036.017157193
1.25892541179417,334800,612487.549473362
1.25892541179417,338400,613931.176847897
1.25892541179417,342000,615367.017075179
1.25892541179417,345600,616795.184536157
1.25892541179417,349200,618215.790320467
1.25892541179417,352800,619628.942343289
1.25892541179417,356400,621034.7454572
1.25892541179417,360000,622433.301559314
1.41253754462275,3600,370926.522886145
1.41253754462275,7200,382503.153699621
1.41253754462275,10800,391386.21495267
1.41253754462275,14400,398874.982002625
1.41253754462275,18000,405472.718220487
1.41253754462275,21600,411437.527702077
1.41253754462275,25200,416922.736119327
1.41253754462275,28800,422028.243629576
1.41253754462275,32400,426823.441119104
1.41253754462275,36000,431358.851669838
1.41253754462275,39600,435672.616127616
1.41253754462275,43200,439794.366135674
1.41253754462275,46800,443747.666184342
1.41253754462275,50400,447551.622271791
1.41253754462275,54000,451221.98047995
1.41253754462275,57600,454771.900235584
1.41253754462275,61200,458212.512780168
1.41253754462275,64800,461553.333559531
1.41253754462275,68400,464802.572686078
1.41253754462275,72000,467967.372671309
1.41253754462275,75600,471053.993228311
1.41253754462275,79200,474067.956872382
1.41253754462275,82800,477014.165028495
1.41253754462275,86400,479896.991634488
1.41253754462275,90000,482720.35935206
1.41253754462275,93600,485487.802179436
1.41253754462275,97200,488202.517318652
1.41253754462275,100800,490867.408468919
1.41253754462275,104400,493485.122217199
1.41253754462275,108000,496058.078825333
1.41253754462275,111600,498588.498433518
1.41253754462275,115200,501078.423487583
1.41253754462275,118800,503529.738034615
1.41253754462275,122400,505944.184405337
1.41253754462275,126000,508323.377703199
1.41253754462275,129600,510668.818442594
1.41253754462275,133200,512981.903617188
1.41253754462275,136800,515263.936430262
1.41253754462275,140400,517516.134879525
1.41253754462275,144000,519739.639356972
1.41253754462275,147600,521935.519398375
1.41253754462275,151200,524104.779695806
1.41253754462275,154800,526248.365469113
1.41253754462275,158400,528367.16727784
1.41253754462275,162000,530462.025343119
1.41253754462275,165600,532533.733439058
1.41253754462275,169200,534583.042404782
1.41253754462275,172800,536610.663321253
1.41253754462275,176400,538617.270391049
1.41253754462275,180000,540603.503554236
1.41253754462275,183600,542569.970869209
1.41253754462275,187200,544517.250683681
1.41253754462275,190800,546445.893617928
1.41253754462275,194400,548356.424379637
1.41253754462275,198000,550249.343427468
1.41253754462275,201600,552125.128498359
1.41253754462275,205200,553984.236011936
1.41253754462275,208800,555827.10236384
1.41253754462275,212400,557654.145118488
1.41253754462275,216000,559465.764110623
1.41253754462275,219600,561262.342464032
1.41253754462275,223200,563044.247534885
1.41253754462275,226800,564811.831786414
1.41253754462275,230400,566565.433600938
1.41253754462275,234000,568305.37803464
1.41253754462275,237600,570031.977519981
1.41253754462275,241200,571745.532520136
1.41253754462275,244800,573446.332139428
1.41253754462275,248400,575134.65469336
1.41253754462275,252000,576810.768241495
1.41253754462275,255600,578474.931086144
1.41253754462275,259200,580127.392239554
1.41253754462275,262800,581768.391862026
1.41253754462275,266400,583398.161673201
1.41253754462275,270000,585016.925338543
1.41253754462275,273600,586624.898832854
1.41253754462275,277200,588222.290782545
1.41253754462275,280800,589809.302788175
1.41253754462275,284400,591386.129728712
1.41253754462275,288000,592952.960048781
1.41253754462275,291600,594509.976030122
1.41253754462275,295200,596057.354048325
1.41253754462275,298800,597595.264815869
1.41253754462275,302400,599123.87361238
1.41253754462275,306000,600643.340502959
1.41253754462275,309600,602153.820545365
1.41253754462275,313200,603655.463986786
1.41253754462275,316800,605148.416450847
1.41253754462275,320400,606632.819115492
1.41253754462275,324000,608108.808882291
1.41253754462275,327600,609576.518537714
1.41253754462275,331200,611036.076906855
1.41253754462275,334800,612487.609000051
1.41253754462275,338400,613931.236152827
1.41253754462275,342000,615367.076159547
1.41253754462275,345600,616795.24340114
1.41253754462275,349200,618215.848967228
1.41253754462275,352800,619629.000772972
1.41253754462275,356400,621034.803670935
1.41253754462275,360000,622433.359558213
1.58489319246111,3600,370926.631310665
1.58489319246111,7200,382503.26012884
1.58489319246111,10800,391386.319850841
1.58489319246111,14400,398875.085610063
1.58489319246111,18000,405472.820690767
1.58489319246111,21600,411437.629144287
1.58489319246111,25200,416922.836616128
1.58489319246111,28800,422028.343246413
1.58489319246111,32400,426823.539909461
1.58489319246111,36000,431358.94967849
1.58489319246111,39600,435672.713392765
1.58489319246111,43200,439794.462690415
1.58489319246111,46800,443747.762057708
1.58489319246111,50400,447551.717489523
1.58489319246111,54000,451222.075065074
1.58489319246111,57600,454771.994208859
1.58489319246111,61200,458212.606160433
1.58489319246111,64800,461553.426363986
1.58489319246111,68400,464802.664930507
1.58489319246111,72000,467967.464370267
1.58489319246111,75600,471054.084395272
1.58489319246111,79200,474068.047519868
1.58489319246111,82800,477014.255168184
1.58489319246111,86400,479897.081277305
1.58489319246111,90000,482720.448508254
1.58489319246111,93600,485487.890858644
1.58489319246111,97200,488202.605529964
1.58489319246111,100800,490867.496220921
1.58489319246111,104400,493485.209518022
1.58489319246111,108000,496058.165682692
1.58489319246111,111600,498588.584854744
1.58489319246111,115200,501078.509479656
1.58489319246111,118800,503529.82360419
1.58489319246111,122400,505944.269558768
1.58489319246111,126000,508323.462446562
1.58489319246111,129600,510668.902781706
1.58489319246111,133200,512981.987557626
1.58489319246111,136800,515264.019977378
1.58489319246111,140400,517516.218038462
1.58489319246111,144000,519739.722132675
1.58489319246111,147600,521935.601795605
1.58489319246111,151200,524104.861719151
1.58489319246111,154800,526248.447122998
1.58489319246111,158400,528367.248566537
1.58489319246111,162000,530462.106270755
1.58489319246111,165600,532533.814009623
1.58489319246111,169200,534583.122622137
1.58489319246111,172800,536610.743189135
1.58489319246111,176400,538617.34991308
1.58489319246111,180000,540603.582733929
1.58489319246111,183600,542570.049709969
1.58489319246111,187200,544517.329188817
1.58489319246111,190800,546445.97179065
1.58489319246111,194400,548356.502223068
1.58489319246111,198000,550249.420944643
1.58489319246111,201600,552125.205692231
1.58489319246111,205200,553984.31288538
1.58489319246111,208800,555827.178919656
1.58489319246111,212400,557654.221359402
1.58489319246111,216000,559465.840039294
1.58489319246111,219600,561262.418083052
1.58489319246111,223200,563044.322846783
1.58489319246111,226800,564811.906793659
1.58489319246111,230400,566565.508305939
1.58489319246111,234000,568305.452439751
1.58489319246111,237600,570032.051627503
1.58489319246111,241200,571745.606332317
1.58489319246111,244800,573446.405658466
1.58489319246111,248400,575134.727921406
1.58489319246111,252000,576810.841180652
1.58489319246111,255600,578475.003738473
1.58489319246111,259200,580127.464607071
1.58489319246111,262800,581768.463946707
1.58489319246111,266400,583398.233476983
1.58489319246111,270000,585016.99686332
1.58489319246111,273600,586624.970080488
1.58489319246111,277200,588222.361754859
1.58489319246111,280800,589809.373486958
1.58489319246111,284400,591386.200155719
1.58489319246111,288000,592953.030205737
1.58489319246111,291600,594510.045918717
1.58489319246111,295200,596057.42367022
1.58489319246111,298800,597595.334172696
1.58489319246111,302400,599123.942705743
1.58489319246111,306000,600643.409334432
1.58489319246111,309600,602153.889116498
1.58489319246111,313200,603655.532299102
1.58489319246111,316800,605148.484505844
1.58489319246111,320400,606632.886914643
1.58489319246111,324000,608108.876427046
1.58489319246111,327600,609576.585829501
1.58489319246111,331200,611036.143947079
1.58489319246111,334800,612487.675790095
1.58489319246111,338400,613931.302694052
1.58489319246111,342000,615367.142453297
1.58489319246111,345600,616795.309448738
1.58489319246111,349200,618215.914769975
1.58489319246111,352800,619629.066332155
1.58489319246111,356400,621034.868987819
1.58489319246111,360000,622433.424634048
1.77827941003892,3600,370926.752964977
1.77827941003892,7200,382503.379544389
1.77827941003892,10800,391386.437548526
1.77827941003892,14400,398875.201859521
1.77827941003892,18000,405472.935664312
1.77827941003892,21600,411437.742964318
1.77827941003892,25200,416922.949375394
1.77827941003892,28800,422028.455018343
1.77827941003892,32400,426823.650754064
1.77827941003892,36000,431359.059646006
1.77827941003892,39600,435672.822526058
1.77827941003892,43200,439794.571026617
1.77827941003892,46800,443747.869629395
1.77827941003892,50400,447551.824325576
1.77827941003892,54000,451222.18119133
1.77827941003892,57600,454772.099648607
1.77827941003892,61200,458212.710934814
1.77827941003892,64800,461553.530492298
1.77827941003892,68400,464802.76843046
1.77827941003892,72000,467967.56725819
1.77827941003892,75600,471054.186686284
1.77827941003892,79200,474068.14922802
1.77827941003892,82800,477014.35630658
1.77827941003892,86400,479897.181858201
1.77827941003892,90000,482720.548543148
1.77827941003892,93600,485487.990358353
1.77827941003892,97200,488202.704504683
1.77827941003892,100800,490867.594680286
1.77827941003892,104400,493485.307471157
1.77827941003892,108000,496058.263138251
1.77827941003892,111600,498588.681820954
1.77827941003892,115200,501078.605964349
1.77827941003892,118800,503529.919614832
1.77827941003892,122400,505944.365102488
1.77827941003892,126000,508323.557530178
1.77827941003892,129600,510668.997411746
1.77827941003892,133200,512982.081740347
1.77827941003892,136800,515264.113718784
1.77827941003892,140400,517516.311344323
1.77827941003892,144000,519739.815008541
1.77827941003892,147600,521935.694246817
1.77827941003892,151200,524104.953750858
1.77827941003892,154800,526248.538740164
1.77827941003892,158400,528367.339773955
1.77827941003892,162000,530462.197073056
1.77827941003892,165600,532533.904411284
1.77827941003892,169200,534583.212627489
1.77827941003892,172800,536610.832802373
1.77827941003892,176400,538617.439138267
1.77827941003892,180000,540603.671575005
1.77827941003892,183600,542570.138170757
1.77827941003892,187200,544517.417273027
1.77827941003892,190800,546446.059501887
1.77827941003892,194400,548356.589564834
1.77827941003892,198000,550249.507920344
1.77827941003892,201600,552125.292305181
1.77827941003892,205200,553984.399138804
1.77827941003892,208800,555827.264816694
1.77827941003892,212400,557654.306903115
1.77827941003892,216000,559465.925232664
1.77827941003892,219600,561262.502928988
1.77827941003892,223200,563044.407348123
1.77827941003892,226800,564811.990953172
1.77827941003892,230400,566565.592126329
1.77827941003892,234000,568305.535923659
1.77827941003892,237600,570032.13477751
1.77827941003892,241200,571745.689150945
1.77827941003892,244800,573446.488148183
1.77827941003892,248400,575134.810084624
1.77827941003892,252000,576810.923019733
1.77827941003892,255600,578475.085255727
1.77827941003892,259200,580127.545804762
1.77827941003892,262800,581768.54482705
1.77827941003892,266400,583398.31404215
1.77827941003892,270000,585017.077115441
1.77827941003892,273600,586625.050021648
1.77827941003892,277200,588222.441387105
1.77827941003892,280800,589809.452812298
1.77827941003892,284400,591386.279176122
1.77827941003892,288000,592953.108923135
1.77827941003892,291600,594510.124335009
1.77827941003892,295200,596057.50178727
1.77827941003892,298800,597595.411992336
1.77827941003892,302400,599124.02022977
1.77827941003892,306000,600643.486564615
1.77827941003892,309600,602153.966054574
1.77827941003892,313200,603655.608946781
1.77827941003892,316800,605148.560864806
1.77827941003892,320400,606632.962986542
1.77827941003892,324000,608108.952213509
1.77827941003892,327600,609576.661332128
1.77827941003892,331200,611036.219167447
1.77827941003892,334800,612487.750729756
1.77827941003892,338400,613931.377354536
1.77827941003892,342000,615367.216836109
1.77827941003892,345600,616795.383555361
1.77827941003892,349200,618215.988601873
1.77827941003892,352800,619629.139890768
1.77827941003892,356400,621034.942274568
1.77827941003892,360000,622433.497650336
1.99526231496888,3600,370926.88946336
1.99526231496888,7200,382503.513530837
1.99526231496888,10800,391386.569607499
1.99526231496888,14400,398875.332293558
1.99526231496888,18000,405473.064666751
1.99526231496888,21600,411437.870672493
1.99526231496888,25200,416923.075893371
1.99526231496888,28800,422028.580428511
1.99526231496888,32400,426823.775123755
1.99526231496888,36000,431359.183031588
